tasks,variants,memory,xml,generator,description
1,1,57663488,346,37421,935
1,1001,57663488,349,126,767
1,2001,57663488,349,125,753
1,3001,57663488,349,128,758
1,4001,57663488,349,126,758
1,5001,57663488,349,126,758
1,6001,57663488,349,126,763
1,7001,57663488,349,126,803
1,8001,57663488,349,126,760
1,9001,57663488,349,128,774
1,10001,57663488,350,128,756
1,11001,57663488,350,127,786
1,12001,57663488,350,125,763
1,13001,57663488,350,127,757
1,14001,57663488,350,126,754
1,15001,57663488,350,125,761
1,16001,57663488,350,125,758
1,17001,57663488,350,128,1025
1,18001,57663488,350,126,792
1,19001,57663488,350,229,1249
1,20001,57663488,350,126,761
1,21001,57663488,350,134,782
1,22001,57663488,350,126,764
1,23001,57663488,350,126,764
1,24001,57663488,350,126,823
1,25001,57663488,350,134,761
1,26001,57663488,350,126,759
1,27001,57663488,350,128,760
1,28001,57663488,350,134,763
1,29001,57663488,350,126,761
1,30001,57663488,350,126,760
1,31001,57663488,350,126,792
1,32001,57663488,350,126,868
1,33001,57663488,350,135,759
1,34001,57663488,350,126,760
1,35001,57663488,350,126,757
1,36001,57663488,350,125,760
1,37001,57663488,350,126,804
1,38001,57663488,350,126,760
1,39001,57663488,350,128,763
1,40001,57663488,350,128,774
1,41001,57663488,350,126,760
1,42001,57663488,350,126,805
1,43001,57663488,350,125,755
1,44001,57663488,350,126,825
1,45001,57663488,350,126,759
1,46001,57663488,350,126,757
1,47001,57663488,350,126,823
1,48001,57663488,350,128,758
1,49001,57663488,350,126,758
1,50001,57663488,350,126,807
1,51001,57663488,350,126,808
1,52001,57663488,350,128,764
1,53001,57663488,350,126,759
1,54001,57663488,350,125,759
1,55001,57663488,350,126,886
1,56001,57663488,350,126,758
1,57001,57663488,350,127,801
1,58001,57663488,350,128,769
1,59001,57663488,350,128,759
1,60001,57663488,350,127,761
1,61001,57663488,350,126,760
1,62001,57663488,350,126,782
1,63001,57663488,350,128,765
1,64001,57663488,350,128,761
1,65001,57663488,350,265,1590
1,66001,57663488,350,126,764
1,67001,57663488,350,126,760
1,68001,57663488,350,127,780
1,69001,57663488,350,170,780
1,70001,57663488,350,127,776
1,71001,57663488,350,243,1519
1,72001,57663488,350,126,764
1,73001,57663488,350,128,759
1,74001,57663488,350,218,1219
1,75001,57663488,350,128,761
1,76001,57663488,350,127,761
1,77001,57663488,350,137,757
1,78001,57663488,350,126,759
1,79001,57663488,350,128,761
1,80001,57663488,350,127,759
1,81001,57663488,350,128,759
1,82001,57663488,350,127,758
1,83001,57663488,350,127,761
1,84001,57663488,350,127,780
1,85001,57663488,350,126,761
1,86001,57663488,350,128,760
1,87001,57663488,350,126,759
1,88001,57663488,350,140,766
1,89001,57663488,350,126,788
1,90001,57663488,350,127,774
1,91001,57663488,350,127,762
1,92001,57663488,350,126,765
1,93001,57663488,350,128,779
1,94001,57663488,350,159,1405
1,95001,57663488,350,144,762
1,96001,57663488,350,172,760
1,97001,57663488,350,128,778
1,98001,57663488,350,127,761
1,99001,57663488,350,263,1504
1,100001,57663488,351,187,1437
1,101001,57663488,351,272,1514
1,102001,57663488,351,268,1473
1,103001,57663488,351,268,1451
1,104001,57663488,351,126,770
1,105001,57663488,351,128,762
1,106001,57663488,351,127,756
1,107001,57663488,351,128,761
1,108001,57663488,351,127,767
1,109001,57663488,351,126,757
1,110001,57663488,351,125,778
1,111001,57663488,351,127,765
1,112001,57663488,351,127,755
1,113001,57663488,351,127,771
1,114001,57663488,351,126,786
1,115001,57663488,351,268,1481
1,116001,57663488,351,126,782
1,117001,57663488,351,126,768
